Alabama,Montgomery,5097641
Alaska,Juneau,740339
Arizona,Phoenix,7379346
Arkansas,Little Rock,3040207
California,Sacramento,40223504
Colorado,Denver,5997070
Connecticut,Hartford,3615499
Delaware,Dover,1017551
Florida,Tallahassee,22359251
Georgia,Atlanta,11019186
Hawaii,Honolulu,1483762
Idaho,Boise,1920562
Illinois,Springfield,12807072
Indiana,Indianapolis,6876047
Iowa,Des Moines,3233572
Kansas,Topeka,2963308
Kentucky,Frankfort,4555777
Louisiana,Baton Rouge,4695071
Maine,Augusta,1372559
Maryland,Annapolis,6298325
Massachusetts,Boston,7174604
Michigan,Lansing,10135438
Minnesota,Saint Paul,5827265
Mississippi,Jackson,2959473
Missouri,Jefferson City,6204710
Montana,Helena,1112668
Nebraska,Lincoln,2002052
Nevada,Carson City,3225832
New Hampshire,Concord,1395847
New Jersey,Trenton,9438124
New Mexico,Santa Fe,2135024
New York,Albany,20448194
North Carolina,Raleigh,10710558
Ohio,Columbus,11878330
Oklahoma,Oklahoma City,4021753
Oregon,Salem,4359110
Pennsylvania,Harrisburg,13092796
Rhode Island,Providence,1110822
South Carolina,Columbia,5266343
North Dakota,Bismarck,811044
South Dakota,Pierre,908414
Tennessee,Nashville,7080262
Texas,Austin,30345487
Utah,Salt Lake City,3423935
Vermont,Montpelier,648279
Virginia,Richmond,8820504
Washington,Olympia,7999503
West Virginia,Charleston,1775932
Wisconsin,Madison,5955737
Wyoming,Cheyenne,580817
